time,duration,value,confidence
0.0,2.972154195011338,N,0.729823112487793
2.972154195011338,3.157913832199547,D:min7,0.4480735659599304
6.130068027210885,2.693514739229024,D:min6,0.2954174280166626
8.823582766439909,6.222947845804988,C:maj,0.8442935347557068
15.046530612244897,5.8514285714285705,D:min,0.5355485081672668
20.897959183673468,12.074376417233562,C:maj,0.7775273323059082
32.97233560090703,6.037188208616783,D:min,0.5114531517028809
39.00952380952381,3.065034013605441,A#:maj,0.828033983707428
42.074557823129254,2.8792743764172286,G:7/3,0.3053608536720276
44.95383219954648,1.5789569160997772,C:maj,0.7873619794845581
46.53278911564626,1.6718367346938763,F:maj/5,0.7412195801734924
48.204625850340136,8.823582766439912,C:maj,0.7104094624519348
57.02820861678005,5.94430839002267,D:min,0.5372290015220642
62.97251700680272,3.065034013605441,A#:maj,0.826072633266449
66.03755102040816,2.972154195011342,G:7/3,0.22385576367378235
69.0097052154195,3.065034013605441,C:maj,0.7719321250915527
72.07473922902494,2.8792743764172286,C:7,0.4128715991973877
74.95401360544217,6.037188208616783,F:maj,0.8967626094818115
80.99120181405895,6.037188208616783,C:maj,0.7431354522705078
87.02839002267574,5.94430839002267,D:min,0.43402034044265747
92.9726984126984,3.2507936507936535,C:maj/3,0.8622385263442993
96.22349206349206,2.879274376417243,F:maj,0.6251158714294434
99.1027664399093,2.8792743764172286,A:min,0.5264286398887634
101.98204081632653,2.972154195011342,F:maj/5,0.7359980940818787
104.95419501133787,4.458231292516999,C:maj,0.7442836165428162
109.41242630385487,1.6718367346938834,F:maj/5,0.8017311096191406
111.08426303854876,2.972154195011342,A:min,0.5330561995506287
114.0564172335601,2.8792743764172286,F:maj/5,0.7199522852897644
116.93569160997733,3.4365532879818517,C:maj,0.8336920738220215
120.37224489795918,2.507755102040818,D:min,0.19765479862689972
122.88,2.6006349206349313,F:maj/3,0.5639574527740479
125.48063492063493,6.408707482993194,N,0.6420297622680664
131.88934240362812,3.715192743764163,D:min7,0.5662512183189392
135.60453514739228,2.2291156462585207,D:min6,0.2660827040672302
137.8336507936508,6.222947845804981,C:maj,0.8430648446083069
144.05659863945579,5.944308390022684,D:min,0.407145619392395
150.00090702947847,3.15791383219954,C:maj,0.7589947581291199
153.158820861678,2.693514739229016,E:hdim7,0.2627403140068054
155.85233560090703,6.222947845804981,F:maj,0.8012542724609375
162.075283446712,5.944308390022684,C:maj,0.5995581150054932
168.0195918367347,5.944308390022684,D:min,0.40339747071266174
173.96390022675737,2.972154195011342,C:maj/3,0.8333414196968079
176.93605442176872,3.3436734693877384,F:maj,0.6024890542030334
180.27972789115645,2.600634920634917,A:min,0.41549229621887207
182.88036281179137,3.1579138321995686,F:maj/5,0.8146207332611084
186.03827664399094,3.15791383219954,C:maj,0.8025796413421631
189.19619047619048,2.972154195011342,F:maj,0.5558325052261353
192.16834467120182,2.7863945578231153,A:min/b3,0.2901639938354492
194.95473922902494,2.972154195011342,F:maj/5,0.6267933249473572
197.92689342403628,3.065034013605441,C:maj,0.8346167802810669
200.99192743764172,2.414875283446719,G:7/3,0.25801318883895874
203.40680272108844,3.3436734693877384,D:min,0.1966020166873932
206.75047619047618,3.3436734693877668,C:maj,0.8152310848236084
210.09414965986394,2.879274376417243,D:min7,0.4940705895423889
212.9734240362812,3.065034013605441,C:maj,0.6538745760917664
216.03845804988663,3.065034013605441,D:min,0.47019854187965393
219.10349206349207,2.600634920634917,G:maj,0.2803955078125
221.704126984127,5.108390022675735,C:maj,0.669446587562561
226.81251700680272,3.993832199546489,N,0.48660221695899963
230.8063492063492,6.780226757369604,C:maj,0.6650688648223877
